book_title,story_title,latitude,longitude,location,city,state,country,continent,century,decade,initial_date,final_date,unbuilt,architect,pg_gh,pg_img_gh,count_img_gh,fp_gh,pg_fp_gh,count_gh,pg_ha,pg_img_ha,count_img_ha,fp_ha,pg_fp_ha,count_ha,pg_mm,pg_img_mm,count_img_mm,fp_mm,pg_fp_mm,count_mm,pg_wh,pg_img_wh,count_img_wh,fp_wh,pg_fp_wh,count_wh
A Global History of Architecture,Wadsworth Atheneum,41.76346225,-72.67290114,"Hartford, Connecticut, USA",Hartford,Connecticut,United States,North America,19,1840,1842,,,Alexander Jackson Davis,666,,,,,1,,,,,,,,,,,,,,,,,,
A World History of Architecture,John Graves House,41.27959717,-72.59991384,"Madison, Connecticut",Madison,Connecticut,United States,North America,17,,1675,,N,John Graves,,,,,,,,,,,,,,,,,,,6,6,1,N,,1
"A Global History of Architecture, A World History of Architecture",Machu Picchu,-13.1626691,-72.5447249,"Machu Picchu, Peru",Machu Picchu,,Peru,South America,15,,1450,,N,,467-468,467-468,1,Y,467,5,,,,,,,,,,,,,"274-275,293",274,1,N,,2
A History of Architecture: Settings and Rituals,Cuzco,-13.5169353,-71.97927382,"Cuzco, Peru",Cuzco,,Peru,South America,15,,,,,,,,,,,,"438,441","438,441",1,Y,441,2,,,,,,,,,,,,
Modern Movements in Architecture,Clark University Library,42.25195536,-71.82307903,"Worcester, Massachusetts, USA",Worcester,Massachusetts,United States,North America,20,1960,1966,1969,,John M. Johansen,,,,,,,,,,,,,204-205,204-205,2,N,,1,,,,,,
A Global History of Architecture,"Upper temple Area, Qosqo",-13.4756433,-71.8145207,"Qosqo, Peru",Qosqo,,Peru,South America,,,,,,,466,466,3,Y,466,3,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Amoskeag Manufacturing Company,42.9956397,-71.4547891,"Manchester, New Hampshire",Manchester,New Hampshire,United States,North America,19,1830,1837,1845,,,,,,,,,630,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Providence Arcade,41.8239891,-71.4128343,"Providence, Rhode Island",Providence,Rhode Island,United States,North America,19,1820,1828,1829,,Russell Warren; James Bucklin,,,,,,,591,,1,N,,1,,,,,,,,,,,,
A World History of Architecture,Samuel Daggett House,41.87199111,-71.34406597,"Andover, Connecticut",Andover,Connecticut,United States,North America,18,,1750,,N,Samuel Daggett,,,,,,,,,,,,,,,,,,,6,6,1,N,,1
Modern Movements in Architecture,Chamberlain House,42.36088559,-71.34361839,"Weyland, Massachusetts, USA",Weyland,Massachusetts,United States,North America,20,1930,1939,,,"Walter Gropius, Marcel Breuer",,,,,,,,,,,,,118-119,118-119,2,Y,119,1,,,,,,
A World History of Architecture,Gropius House,42.42706475,-71.32640505,"Lincoln, Massachusetts",Lincoln,Massachusetts,United States,North America,20,,1938,,N,"Marcel Breuer, Walter Gropius",,,,,,,,,,,,,,,,,,,"519,555",,,N,,2
A Global History of Architecture,Touro Synagogue,41.4894331,-71.3119339,"Newport, Rhode Island, USA",Newport,Rhode Island,United States,North America,18,1750,1759,1763,,Peter Harrison,"603,654",654,1,N,,2,,,,,,,,,,,,,,,,,,
A Global History of Architecture,Redwood Library,41.4864057,-71.3086716,"Newport, Rhode Island, USA",Newport,Rhode Island,United States,North America,18,1740,1748,1750,,Peter Harrison,603,,,,,1,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Griswold House,41.4953812,-71.306228,"Newport, Rhode Island",Newport,Rhode Island,United States,North America,19,1860,1862,1863,,Richard Morris Hunt,,,,,,,646,,1,N,,1,,,,,,,,,,,,
"A Global History of Architecture, A History of Architecture: Settings and Rituals, A World History of Architecture",Watts Sherman House,41.47016665,-71.30414959,"Newport, Rhode Island, USA",Newport,Rhode Island,United States,North America,19,1870,1874,1875,,Henry Hobson Richardson,685,685,1,Y,685,1,652,,1,N,,1,,,,,,,466-467,,1,N,,2
A World History of Architecture,The Breakers,41.46991445,-71.29815218,"Newport, Rhode Island",Newport,Rhode Island,United States,North America,19,,1892,1895,N,Richard Morris Hunt,,,,,,,,,,,,,,,,,,,433,433,1,N,,2
"A Global History of Architecture, A History of Architecture: Settings and Rituals",Isaac Bell House (Edna Villa),41.5524614,-71.27037833,"Newport, Rhode Island",Newport,Rhode Island,United States,North America,19,1880,1881,1883,,"McKim, Mead, and White",685,685,2,Y,685,2,653,653,2,Y,653,2,,,,,,,,,,,,
A Global History of Architecture,Winn Memorial Public Library,42.4793632,-71.15460369,"Woburn, Massachusetts, USA",Woburn,Massachusetts,United States,North America,19,1870,1876,1879,,Henry Hobson Richardson,683,683,3,Y,683,3,,,,,,,,,,,,,,,,,,
A Global History of Architecture,Mt. Auburn Cemetery,42.370697,-71.14401173,"Cambridge, Massachusetts, USA",Cambridge,Massachusetts,United States,North America,19,1830,1831,,,,624,624,1,N,,1,,,,,,,,,,,,,,,,,,
Modern Movements in Architecture,Holyoke Center,42.37263765,-71.11865864,"Cambridge, Massachusetts, USA",Cambridge,Massachusetts,United States,North America,20,1960,1963,,,"Sert, Jackson, Gourley and Associates",,,,,,,,,,,,,225,225,1,N,,1,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",Stoughton House,42.37539155,-71.11772984,"Cambridge, Massachusetts",Cambridge,Massachusetts,United States,North America,19,1880,1882,1883,,Henry Hobson Richardson,,,,,,,658,,1,N,,1,,,,,,,466-467,467,1,N,,2
A World History of Architecture,Sever Hall,42.37445625,-71.1154791,"Cambridge, Massachusetts",Cambridge,Massachusetts,United States,North America,19,,1878,,N,Henry Hobson Richardson,,,,,,,,,,,,,,,,,,,464,,,N,,1
A Global History of Architecture,Memorial Hall,42.37600735,-71.11511163,"Cambridge, Massachusetts, USA",Cambridge,Massachusetts,United States,North America,19,1865,1868,,,"William Robert Ware, Henry van Brunt",669,669,1,N,,1,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,"Austin Hall, Harvard University",42.3750997,-71.1056157,"Cambridge, Massachusetts",Cambridge,Massachusetts,United States,North America,19,1880,1881,1883,,Henry Hobson Richardson,,,,,,,658,,1,N,,1,,,,,,,,,,,,
"A Global History of Architecture, A History of Architecture: Settings and Rituals, A World History of Architecture",Baker House Dormitory,42.3750997,-71.1056157,"Cambridge, Massachusetts",Cambridge,Massachusetts,United States,North America,20,1940,1946,1949,,Alvar Aalto,743,,,,,1,732,,1,N,,1,,,,,,,"535-536,560",536,1,N,,3
A History of Architecture: Settings and Rituals,House of Major John Vassal,42.3750997,-71.1056157,"Cambridge, Massachusetts",Cambridge,Massachusetts,United States,North America,18,1750,1759,,,,,,,,,,618,,1,N,,1,,,,,,,,,,,,
Modern Movements in Architecture,Boston University Tower,42.35006063,-71.09979742,"Boston, Massachusetts, USA",Boston,Massachusetts,United States,North America,20,1960,1965,,,"Sert, Jackson, Gourley and Associates",,,,,,,,,,,,,224,224,1,N,,1,,,,,,
A Global History of Architecture,MIT,42.3582393,-71.09663495,"Cambridge, Massachusetts, USA",Cambridge,Massachusetts,United States,North America,20,1910,1913,1916,,William Bosworth,686,,,,,1,,,,,,,,,,,,,,,,,,
"A Global History of Architecture, A History of Architecture: Settings and Rituals, A World History of Architecture",Boston Public Library,42.3493298,-71.07865474,"Boston, Massachusetts",Boston,Massachusetts,United States,North America,19,1880,1887,1893,N,"McKim, Mead, and White",686,689,1,N,,1,672,,1,N,,1,,,,,,,"5,305,435-436",436,1,N,,4
A History of Architecture: Settings and Rituals,Copley Plaza,42.3490607,-71.076181,"Boston, Massachusetts",Boston,Massachusetts,United States,North America,19,1890,1890,,,"McKim, Mead, and White",,,,,,,672,,1,N,,1,,,,,,,,,,,,
"A Global History of Architecture, A History of Architecture: Settings and Rituals, A World History of Architecture",Trinity Church,42.35006775,-71.07542537,"Boston, Massachusetts, USA",Boston,Massachusetts,United States,North America,19,1870,1872,1877,,Henry Hobson Richardson,682,682,3,Y,682,3,658,,1,N,,1,,,,,,,"436,462-463",463,2,N,,6
A Global History of Architecture,Suffolk House of Correction,42.33458143,-71.067724,"Bury St. Edmunds, England, UK",Bury St. Edmunds,,England,Europe,19,1800,1803,,,,639,639,1,N,,1,,,,,,,,,,,,,,,,,,
"A Global History of Architecture, A History of Architecture: Settings and Rituals",Massachusetts State House,42.35860195,-71.06387509,"Boston, Massachusetts, USA",Boston,Massachusetts,United States,North America,18,1790,1795,1798,,Charles Bulfinch,628,628,2,Y,628,1,620,,1,N,,1,,,,,,,,,,,,
A World History of Architecture,Brattle Square Church,42.3606353,-71.0590658,"Boston, Massachusetts",Boston,Massachusetts,United States,North America,19,,1870,,N,Henry Hobson Richardson,,,,,,,,,,,,,,,,,,,463,,,N,,1
A History of Architecture: Settings and Rituals,Tontine Crescent,42.35559955,-71.05841307,"Boston, Massachusetts",Boston,Massachusetts,United States,North America,18,1790,1793,1795,,Charles Bulfinch,,,,,,,620,,1,Y,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Central Artery (Fitzgerald Expressway),42.3602534,-71.0582912,"Boston, Massachusetts",Boston,Massachusetts,United States,North America,20,1950,1956,,,,,,,,,,726,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Faneuil Hall Market (Quincy Market),42.3602534,-71.0582912,"Boston, Massachusetts",Boston,Massachusetts,United States,North America,19,1820,1825,1826,,Alexander Parris,,,,,,,627,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,King's Chapel,42.3602534,-71.0582912,"Boston, Massachusetts",Boston,Massachusetts,United States,North America,18,1740,1749,1754,,Peter Harrison,,,,,,,617-618,,2,N,,2,,,,,,,,,,,,
Modern Movements in Architecture,Boston City Hall,42.360401,-71.05768163,"Boston, Massachusetts, USA",Boston,Massachusetts,United States,North America,20,1960,1964,1969,,"Kallmann, McKinnell and Knowles",,,,,,,,,,,,,"227,372",227,2,N,,2,,,,,,
A Global History of Architecture,United Shoe Machinery Company,42.35427989,-71.05583377,"Beverly, Massachusetts, USA",Beverly,Massachusetts,United States,North America,20,1900,1903,1906,,Ernest Leslie Ransome,701,701,1,N,,1,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Crane Memorial Library,42.2509914,-71.0037374,"Quincy, Massachusetts",Quincy,Massachusetts,United States,North America,19,1880,1880,1883,,Henry Hobson Richardson,,,,,,,658,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,"John Gardner House, Pingree House",42.5195292,-70.8967226,"Salem, Massachusetts",Salem,Massachusetts,United States,North America,19,1800,1805,,,Samuel McIntire,,,,,,,619,619,2,Y,619,2,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Old Ship Meetinghouse,42.2414892,-70.8875453,"Hingham, Massachusetts",Hingham,Massachusetts,United States,North America,17,1680,1681,1755,,,,,,,,,611,611,1,N,,2,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,House of Thomas Hart,42.679273,-70.8411583,"Ipswich, Massachusetts",Ipswich,Massachusetts,United States,North America,17,1650,1650,,,,,,,,,,610,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,"Victoria Mansion, Morse-Libby-House",43.6610277,-70.2548596,"Portland, Maine",Portland,Maine,United States,North America,19,1850,1859,1863,,Henry Austin,,,,,,,632,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,First Congressional Church,41.9376051,-70.0327996,"Wellfleet, Massachusetts",Wellfleet,Massachusetts,United States,North America,19,1850,1850,,,,,,,,,,628,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,S. Domingo,18.4801972,-69.942111,"Santo Domingo, Dominican Republic",Santo Domingo,,Dominican Republic,South America,15,1490,1496,,,,,,,,,,444,,1,N,,1,,,,,,,,,,,,
A Global History of Architecture,Brazilian Hacienda,-2.9926769,-60.0047761,"Santa Catalina, Brazil",,Santa Catalina,Brazil,South America,18,,,,,,571,571,2,Y,571,2,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Brasilia Master Plan,-10.3333333,-53.2,"Brasilia, Brazil",Brasilia,,Brazil,South America,20,1950,1956,,,Lucio Costa,,,,,,,731,,1,N,,1,,,,,,,,,,,,
Modern Movements in Architecture,Foreign Office,-15.80044115,-47.8672965,"Brasilia, Brazil",Brasilia,,Brazil,South America,20,1960,1966,,,Oscar Niemeyer,,,,,,,,,,,,,50,,,,,1,,,,,,
Modern Movements in Architecture,National Congress of Brazil,-15.7995244,-47.86409514,"Brasilia, Brazil",Brasilia,,Brazil,South America,20,1950,1956,1960,,Oscar Niemeyer,,,,,,,,,,,,,304-305,304-305,1,N,,1,,,,,,
A Global History of Architecture,Sao Paulo Museum of Art,-23.56150875,-46.65596049,"Sao Paulo, Brazil",Sao Paulo,,Brazil,South America,20,1940,1947,,,Lina Bo Bardi,746,746,1,N,,1,,,,,,,,,,,,,,,,,,
Modern Movements in Architecture,Pedregulho Estate,-22.89220726,-43.23325119,"Rio de Janeiro, Brazil",Rio de Janeiro,,Brazil,South America,20,1940,1947,1953,,Affonso Eduardo Reidy,,,,,,,,,,,,,309,309,1,N,,1,,,,,,
A Global History of Architecture,Municipal Theater,-22.9088109,-43.17654677,"Rio de Janeiro, Brazil",Rio de Janeiro,,Brazil,South America,20,1900,1905,,,Oliveira Passos,692,692,1,N,,1,,,,,,,,,,,,,,,,,,
A Global History of Architecture,Ministry of Health and Education,-22.90864303,-43.17369619,"Rio de Janeiro, Brazil",Rio de Janeiro,,Brazil,South America,20,1930,1936,1946,,"Lucio Costa, Oscar Niemeyer","727,745-746",745-746,2,Y,746,3,,,,,,,,,,,,,,,,,,
A Global History of Architecture,Touba Mosque,14.86318576,-15.87538657,"Touba, Senegal",Touba,,Senegal,Africa,20,1920,,,,,740,740,1,N,,1,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Convent of Christ,39.60360005,-8.419928314,"Tomar, Portugal",Tomar,,Portugal,Europe,16,1520,1520,,,Diego da Arruda,,,,,,,434,,1,N,,1,,,,,,,,,,,,
A World History of Architecture,Passage Grave at Newgrange,53.69473065,-6.475575448,"Newgrange, County Meath, Ireland",Newgrange,County Meath,Ireland,Europe,-32,,-3100,,N,,,,,,,,,,,,,,,,,,,,11-Oct,11,2,Y,11,3
A History of Architecture: Settings and Rituals,S. Luis,37.3886303,-5.9953403,"Seville, Spain",Seville,,Spain,Europe,18,1730,1731,,,Leonardo da Fuigueroa,,,,,,,525,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,San Pedro de la Nave,41.58318475,-5.964028642,"El Campilo, Spain",El Campilo,,Spain,Europe,7,680,680,711,,,,,,,,,274,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Mine Engine House,50.3621441,-5.0408438,"Cornwall, England",Cornwall,,England,Europe,,,,,,,,,,,,,603,,1,N,,1,,,,,,,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",The Great Mosque at Córdoba,37.8845813,-4.7760138,"Cordoba, Spain",Cordoba,,Spain,Europe,10,960,962,966,,,,,,,,,"296,404","296,404",2,N,,2,,,,,,,169-172,169-171-172,5,Y,169-171-172,7
A World History of Architecture,Hill House,56.01701885,-4.728114931,"Helensburgh, Scotland",Helensburgh,,Scotland,Europe,20,,1902,1904,N,Charles Rennie Mackintosh,,,,,,,,,,,,,,,,,,,458-459,459,3,N,,4
A History of Architecture: Settings and Rituals,Citiy walls of Ávila,40.656478,-4.7002172,"Ávila, Spain",Ávila,,Spain,Europe,11,1090,1090,,,,,,,,,,297,,1,N,,1,,,,,,,,,,,,
A World History of Architecture,Scotland Street School,55.84952035,-4.273706477,"Glasgow, Scotland",Glasgow,,Scotland,Europe,20,,1904,1906,N,Charles Rennie Mackintosh,,,,,,,,,,,,,,,,,,,458,,,N,,1
A Global History of Architecture,St. Vincent Street United Presbyterian Church,55.86291466,-4.266776372,"Glasgow, Scotland, UK",Glasgow,,Scotland,Europe,19,1850,1857,1859,,Alexander Thomson,635,,,,,1,,,,,,,,,,,,,,,,,,
A World History of Architecture,Glasgow School of Art,55.8663055,-4.263902531,"Glasgow, Scotland",Glasgow,,Scotland,Europe,19,,1897,1909,N,Charles Rennie Mackintosh,,,,,,,,,,,,,,,,,,,457-458,457-458,3,N,,4
A Global History of Architecture,Glasgow Necropolis,55.8627117,-4.230764005,"Glasgow, Scotland, UK",Glasgow,,Scotland,Europe,19,1820,1820,,,,624,,,,,1,,,,,,,,,,,,,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",Menai Suspension Bridge,53.22044743,-4.163472718,"Menai Straits, England",Menai Straits,,England,Europe,19,1810,1819,1825,,Thomas Telford,,,,,,,596,,1,N,,1,,,,,,,438,438,1,N,,2
A History of Architecture: Settings and Rituals,Oasis Project,50.3706812,-4.154449715,,,,,,20,1960,1968,,,Archigram; Ron Herron,,,,,,,749,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Coumbernauld Town Center,55.9477764,-3.9882568,"Cumbernauld, Scotland",Cumbernauld,,Scotland,Europe,20,1960,1962,1967,,Geoffrey Copcutt,,,,,,,749,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Alhambra Palace of Charles V,37.1734995,-3.5995337,"Granada, Spain",Granada,,Spain,Europe,16,1520,1527,1568,,Pedro Machuca,,,,,,,404,,1,N,,1,,,,,,,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",The Alhambra,37.17605995,-3.588110277,"Granada, Spain",Granada,,Spain,Europe,13,,,,,,,,,,,,399-401,399-401,4,Y,400,3,,,,,,,186-189,186-189,4,Y,186,5
A Global History of Architecture,Royal Scottish Academy,55.9516599,-3.196271583,"Edinburgh, Scotland, UK",Edinburgh,,Scotland,Europe,19,1830,1835,,,William Henry Playfair,635,635,1,N,,1,,,,,,,,,,,,,,,,,,
A Global History of Architecture,Oriel Chamber,53.40667021,-2.993261715,"Liverpool, England, UK",Liverpool,,England,Europe,19,1860,1864,,,Peter Ellis,644,644,1,N,,1,,,,,,,,,,,,,,,,,,
"A Global History of Architecture, A History of Architecture: Settings and Rituals",Albert Docks,53.40030995,-2.992632342,"Liverpool, England",Liverpoool,,England,Europe,19,1840,1845,,,Jesse Hartley,638,638,2,N,,2,601,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Crown Street Railroad Station,53.4071991,-2.99168,"Liverpool, England",Liverpoool,,England,Europe,19,1830,1830,,,John Foster II; George Stephenson,,,,,,,594,594,1,Y,594,2,,,,,,,,,,,,
Modern Movements in Architecture,Liverpool Cathedral,53.39731755,-2.973183931,"Liverpool, UK",Liverpool,,England,Europe,20,1960,1960,1967,,"Gibberd, Frederick",,,,,,,,,,,,,20-24,20-24,6,Y,22,5,,,,,,
A Global History of Architecture,Princes Road Synagogue,53.39514675,-2.965053881,"Liverpool, England, UK",Liverpool,,England,Europe,19,1870,1874,,,,656,656,1,N,,1,,,,,,,,,,,,,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture","Broadleys, A. Currer Briggs House",54.3740303,-2.90651,"Lake Windermere, England",Lake Windermere,,England,Europe,19,1890,1898,,,Charles F. Annesley Voysey,,,,,,,682,,1,N,,1,,,,,,,451-452,452,2,Y,452,3
Modern Movements in Architecture,St. Andrew's Residence,56.34074414,-2.816503486,"St Andrews, Scotland, UK",St. Andrews,Scotland,England,Europe,20,1960,1964,1969,,James Stirling,,,,,,,,,,,,,44-45,44-45,3,N,,1,,,,,,
A History of Architecture: Settings and Rituals,Cronkhill House,52.707755,-2.7540658,"Shrewsbury, England",Shrewsbury,,England,Europe,19,1800,1802,,,John Nash,,,,,,,576,,1,N,,1,,,,,,,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",Coalbrookdale Bridge,52.65233935,-2.64356407,"Shropshire, England",Shropshire,,England,Europe,18,1770,1779,,,"Abraham Darby III, Thomas Pritchard",,,,,,,596,,1,N,,1,,,,,,,414,414,1,N,,2
A History of Architecture: Settings and Rituals,Wells Cathedral,51.2105901,-2.643002153,"Wells, England",Wells,,England,Europe,14,1330,1338,,,,,,,,,,391-392,391-392,2,N,,2,,,,,,,,,,,,
A World History of Architecture,Buildwas Bridge,52.63643834,-2.525691391,"Buildwas, England",Buidlwas,,England,Europe,18,,1795,1798,N,Thomas Telford,,,,,,,,,,,,,,,,,,,415,,,N,,1
A History of Architecture: Settings and Rituals,Royal Crescent,51.3872705,-2.3681654,"Bath, England",Bath,,England,Europe,18,1760,1767,1775,,John Wood the Younger,,,,,,,568,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Stourhead House,51.10802895,-2.319082242,"Wiltshire, England",Wiltshire,,England,Europe,18,,,,,Lancelot Brown,,,,,,,556,,1,N,,1,,,,,,,,,,,,
A Global History of Architecture,Dogon Houses,16.3700359,-2.2900239,Mali,,,Mali,Africa,,,,,,,537-538,537-538,5,Y,538,4,,,,,,,,,,,,,,,,,,
A Global History of Architecture,Bridge Street Workhouse,53.48141861,-2.250593944,"Manchester, England, UK",Manchester,,England,Europe,19,,,,,,640,640,1,Y,640,1,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Gloucester Cathedral,51.86733765,-2.246749781,"Gloucester, England",Gloucester,,England,Europe,14,1330,1337,1367,,,,,,,,,393,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Gloucester Abbey,51.8653705,-2.2458192,"Gloucester, England",Gloucester,,England,Europe,14,1370,1370,,,,,,,,,,372,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Ashton-under-Lyne Canal,53.4794892,-2.2451148,"Manchester, England",Manchester,,England,Europe,18,1790,1794,,,Benjamin Outram; Thomas Brown,,,,,,,590,,1,N,,1,,,,,,,,,,,,
A Global History of Architecture,Manchester City Hall,53.4793385,-2.244174372,"Manchester, England, UK",Manchester,,England,Europe,19,,,,,Alfred Waterhouse,662,662,1,N,,1,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Stanley Mill,51.8333313,-2.1666674,"Gloucestershire, England",Gloucestershire,,England,Europe,19,1810,1813,,,,,,,,,,"599,601","599,601",2,N,,2,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Contrasts,52.4363385,-1.8902996,,,,,,19,184,1841,,Y,Augustus Welby Pugin,,,,,,,588,,1,N,,1,,,,,,,,,,,,
A World History of Architecture,Stonehenge,51.17879434,-1.826199588,"Salisbury Plain, England",Salisbury Plain,,England,Europe,-30,,-2900,-1400,N,,,,,,,,,,,,,,,,,,,,13-Nov,13-Dec,3,Y,13,4
A History of Architecture: Settings and Rituals,Heathcote House,53.925,-1.822,"Illkley, England",Illkley,,England,Europe,20,1900,1906,,,Edwin Lutyens,,,,,,,682,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Bridge in Puente la Reina,42.6717107,-1.8155291,"Puente la Reina, Spain",Puente la Reina,,Spain,Europe,11,1060,1065,1109,,Queen Urraca,,,,,,,299,,1,N,,1,,,,,,,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",Salisbury Cathedral,51.06495445,-1.797290687,"Salisbury, England",Salisbury,,England,Europe,13,1220,1220,1258,,,,,,,,,344-347,344-347,4,N,,4,,,,,,,247-250,248-250,3,Y,248,4
A History of Architecture: Settings and Rituals,Huddersfield narrow canal,53.6409866,-1.7860258,"Huddersfield, England",Huddersfield,,England,Europe,19,1810,1811,,,,,,,,,,589,,1,N,,1,,,,,,,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",Sezincote House,51.97790475,-1.75151578,"Gloucestershire, England","Gloucestershire, England",,England,Europe,19,1800,1805,,,Samuel Pepys Cockerell,,,,,,,575,,1,N,,1,,,,,,,419,419,1,N,,2
A History of Architecture: Settings and Rituals,Seaton Delaval,55.0749718,-1.496476787,"Northumberland, England",Northumberland,,England,Europe,18,1720,1720,1728,,Sir John Vanbrugh,,,,,,,552,,1,N,,1,,,,,,,,,,,,
A Global History of Architecture,Fort Commenda,5.05,-1.489444,"Fort Commenda, Ghana",Fort Commenda,,Ghana,Africa,17,1680,1686,,,,555,,1,Y,,1,,,,,,,,,,,,,,,,,,
Modern Movements in Architecture,Sheffield University,53.3815327,-1.4806602,"Sheffield, UK",Sheffield,,England,Europe,20,1950,1953,,X,Alison and Peter Smithson,,,,,,,,,,,,,275,275,1,N,,1,,,,,,
Modern Movements in Architecture,Park Hill,53.3799952,-1.458195697,"Sheffield, UK",Sheffield,,England,Europe,20,1960,1961,,,"Lynn, Smith and Nicklin",,,,,,,,,,,,,258,258,1,N,,1,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",Blenheim Palace,51.84194475,-1.362629293,"Woodstock, England",Woodstock,,England,Europe,18,1700,1705,1724,N,"Nicholas Hawksmoor, John Vanbrugh",,,,,,,552,,1,N,,1,,,,,,,394,394,1,N,,2
A Global History of Architecture,Elmina Castle,5.08274285,-1.348235749,"Elmina, Ghana",Elmina,,Ghana,Africa,,,,,,,554,554,3,Y,554,3,,,,,,,,,,,,,,,,,,
A Global History of Architecture,Leeds City Hall,53.8185033,-1.3185422,"Leeds, England, UK",Leeds,,England,Europe,19,1850,1858,,,Cuthbert Brodrick,663,663,2,Y,663,2,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Winchester Cathedral,51.0607326,-1.313245771,"Winchester, England",Winchester,,England,Europe,11,1080,1080,1090,,,,,,,,,343,,1,N,,1,,,,,,,,,,,,
A World History of Architecture,Hardwick Hall,53.16816325,-1.308780728,"Derbyshire, England",Derbyshire,,England,Europe,16,,1590,1597,N,Robert Smythson,,,,,,,,,,,,,,,,,,,348-349,348,1,N,,2
A History of Architecture: Settings and Rituals,Rousham House,51.9144589,-1.306064623,"Oxfordshire, England",Oxfordshire,,England,Europe,18,1730,1738,,,William Kent,,,,,,,549,,1,N,,1,,,,,,,,,,,,
A Global History of Architecture,Museum of Natural History,51.75870755,-1.255668483,"Oxford, England, UK",Oxford,,England,Europe,19,1850,1853,,,Deane and Woodward,669,669,1,N,,1,,,,,,,,,,,,,,,,,,
A World History of Architecture,Sheldonian Theater,51.7542724,-1.255013424,"Oxford, England",Oxford,,England,Europe,17,,1662,1663,N,Christopher Wren,,,,,,,,,,,,,,,,,,,388-389,388,1,N,,2
Modern Movements in Architecture,Florey Building,51.75080295,-1.243168673,"Oxford, UK",Oxford,,England,Europe,20,1960,1966,1971,,James Stirling,,,,,,,,,,,,,268-269,268-269,4,N,,1,,,,,,
"A Global History of Architecture, A World History of Architecture",Wollaton Hall,52.9479602,-1.209770975,"Nottingham, England",Nottingham,,England,Europe,16,1580,1580,1588,,Robert Smythson,559-560,559-560,2,Y,559,2,,,,,,,,,,,,,347-348,347-348,3,Y,347,4
A History of Architecture: Settings and Rituals,Great Hall of Leicester Castle,52.68491375,-1.184765309,"Leicestershire, England",Leicestershire,,England,Europe,12,1150,1150,,,,,,,,,,273,,1,N,,1,,,,,,,,,,,,
"Modern Movements in Architecture, A World History of Architecture",Leicester Engineering Building,52.62027815,-1.123639682,"Leicester, England",Leicester,,England,Europe,20,,1964,,N,James Stirling; James Gowan,,,,,,,,,,,,,263-265,263-265,5,N,,2,551-552,,1,N,,1
A History of Architecture: Settings and Rituals,Ockswell Manor,51.4534889,-1.031872959,"Berkshire, England",Berkshire,,England,Europe,15,1450,1450,,,Sir John Norreys,,,,,,,389,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,"Ste. George's Chapel, Windsor Castle",51.4534889,-1.031872959,"Berkshire, England",Berkshire,,England,Europe,15,1470,1473,1516,,,,,,,,,391,,1,N,,1,,,,,,,,,,,,
